name,name1,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,lat,lon,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
VA Greater Los Angeles Healthcare Sys,Los Angeles Ambulatory Care Center,351 East Temple Street,,Los Angeles,CA,90012,,Los Angeles,213-253-2677,Intakes,213-253-2677 x24732,213-253-2677 x24412,http://www.va.gov,34.0520292,-118.2385001,MH,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,1,1,1,,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,,,,,1,1,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JWCH Institute/Wesley Health Ctrs,CCH,522 South San Pedro Street,,Los Angeles,CA,90013,,Los Angeles,323-201-4516,Intake,866-733-5924,,http://jwchinstitute.org,34.0432489,-118.2437768,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,,1,1,,1,1,1,1,,,,1,1,1,,1,,1,,1,,,1,1,1,1,1,1,1,1,1,,1,,,,,1,,,,,1,,,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Para Los Ninos,Mental Health Family Center,849 East 6th Street,,Los Angeles,CA,90021,,Los Angeles,213-623-8446 x224,Intakes,213-623-8446 x221,213-623-8446 x232,http://www.paralosninos.org,34.0401257,-118.2413167,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,,1,1,,1,,,,,1,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Asian Pacific Counseling and,Treatment Center/Adult FCCS,1310 Wilshire Boulevard,,Los Angeles,CA,90017,,Los Angeles,213-483-3000,,,,http://www.apctc.org,34.0530816,-118.2606109,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,,,,,1,,1,1,1,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,
SSG/Asian Pacific Counseling and,Treatment Centers,1310 Wilshire Boulevard,,Los Angeles,CA,90017,,Los Angeles,213-483-3000,,,,http://www.apctc.org,34.0530933,-118.260626,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,,,,,1,,1,1,1,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,
Amanecer Community Counseling Service,,1200 Wilshire Boulevard,Suite 200,Los Angeles,CA,90017,,Los Angeles,213-481-7464 x271,Intake,213-416-1106,,http://www.amanecerla.org,34.0529086,-118.2653159,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,,1,,,,,1,,,,,,,1,1,1,1,,,,1,,,,1,,1,,1,,1,1,,1,1,1,1,,1,,1,,1,1,1,,1,,1,,,1,1,,,,,,1,1,,1,,,,1,,1,,1,,,,1,1,1,1,,,1,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,Integrated Services Management,Adventist Health White Memorial,"1701 East Cesar E Chavez, Suite 532",Los Angeles,CA,90033,,Los Angeles,323-373-2400,Intake,323-766-2345,,http://wellnestla.org,34.0494573,-118.2167639,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,,,1,,,,,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dignity Health,DBA California Hospital Medical Ctr,1400 South Grand Avenue,Suite 600,Los Angeles,CA,90015,,Los Angeles,213-742-6250,,,,http://www.hopestreetfamilycenter.org,34.0368416,-118.2652246,MH,1,,,,,,1,,,1,1,1,1,1,,1,1,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,,,1,1,1,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,,1625 West Olympic Boulevard,Suite 600,Los Angeles,CA,90015,,Los Angeles,323-999-2404,,,,http://www.starsinc.com/los-angeles-county/,34.04995,-118.2748563,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,,1,1,,,,,,,,,1,1,1,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsides FRC,Echo Park,1910 West Sunset Boulevard,Suite 650,Los Angeles,CA,90026,3281,Los Angeles,213-201-5380,Intake,323-274-3075,,http://www.hillsides.org,34.0773897,-118.2613418,MH,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,1,1,,,,,,,1,,,1,1,1,1,1,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
