Name,SA,description,latitude,longitude
Residential Program,SA1,"Case Management, Crisis Intervention, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Therapeutic Behavioral Services (Tbs)<Br>Languages Spoken: English",34.69526626,-118.1360705
Antelope Valley Mental Health Center,SA1,,34.67017082,-118.1229389
Action Family Counseling - Antelope Valley,SA1,The agency provides counseling services for adolescents and their families in Los Angeles County.,34.55868359,-118.0625485
Optimist Foster Family And Adoption Services,SA1,"The Agency provides residential care, foster care and outpatient mental health services for children in Los Angeles County.",34.5837596,-118.140271
Helplines Of Youth Support Association,SA1,The program provides services for youth in the Lancaster and North County areas of Los Angeles county.,34.6886803,-118.1464355
Hathaway-Sycamores - Lancaster Community Based Mental Health Services,SA1,"The agency provides family support services, foster care, out-of-home care for boys, and mental health services for families in Los Angeles.",34.69526625,-118.1360706
Los Angeles County Department Of Mental Health - Antelope Valley Mental Health Center,SA1,The center provides mental health services for adults with mental/emotional disturbance who live in the Los Angeles County portion of the Antelope Valley.,34.66953692,-118.1252066
Los Angeles County Department Of Mental Health - Palmdale Mental Health Center,SA1,"The center provides mental health services for adults with chronic and persistent mental health disorder, who live in the Los Angeles County portion of the South Antelope Valley.",34.58013065,-118.1022609
Heritage Clinic - Palmdale,SA1,The center provides services for older adults and their families and professional education for people who provide services to older adults.,34.63159649,-118.1490081
Masada Homes - Lancaster Office,SA1,"The agency provides foster care services, mental health services and substance abuse services for children and families in Los Angeles and surrounding counties.",34.67206266,-118.1250563
Olive Vista,SA2,"Medication Support, Mental Health Services<Br>Languages Spoken: English, Spanish",34.37941004,-118.5445223
Valley Trauma Counseling Center - Sophia Ave Van Nuys Office,SA2,"The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",34.19969,-118.486827
Glendale Memorial Hospital And Health Center,SA2,"Established in 1926, Glendale Memorial Hospital and Health Center is fully accredited by The Joint Commission, the leading accrediting body for health care organizations in the United States. We are a 334-licensed bed facility with 1,000 employees, upwards 500 physicians representing all major specialties, and a dedicated team of 400 volunteers.",34.12805844,-118.25744298
